CONTRIBUTION ADDRESS,STABLES CONTRIBUTION,KSM PURCHASE PRICE,KSM EQUIVALENT,USD returned at KSM price $33.32 ,TokenSymbol
0x09e510498ae3fc6d06a0a24f85d988e413d0854d,330.05,372.415,0.8862525194,29.530,USDC
0x11a8a0335bdd466efc827301abf20f9869f55253,"1,000",372.415,2.685176483,89.470,USDC
0x340c02c07329fdf2f7aa1523c3c67c29ae35cdcf,779.36,372.415,2.092719144,69.729,USDT
0xafaf4434759c170929c95419b6b3105051eabe06,"3,959.06",372.415,10.63077284,354.217,USDT
0x201b5abfd44a8f9b75f0fe1bae74cdac7675e54b,"200,000",372.415,537.0352966,"17,894.016",USDC
0x8d4a9c9300d300b64e012430efcbb1f6f1fe6782,"2,500",383.23,6.523497638,217.363,USDC
0x2e6bbd0f771146ad702d63dbda859a47533e3003,"3,189",383.23,8.321373588,277.268,DAI
0x5899275c5ec1f45018eafeba5a9a7e59f0ed3bc7,"34,000",383.23,88.71956788,"2,956.136",USDT
0x5899275c5ec1f45018eafeba5a9a7e59f0ed3bc7,"1,000",383.23,2.609399055,86.945,USDT
0xedf7b675a2fe3c27efb263fb4c204a3f0fb17d46,"10,000",383.23,26.09399055,869.452,USDC
0xc5b46513ea71294ba740e115f88b697c26d25c8b,"6,000",383.23,15.65639433,521.671,USDC
0xd34eccaf180a75b56ce98d0c414d3fc03a820f58,"6,928.76",383.23,18.07990548,602.422,USDC
0xf486d56cce70c481b3455af901fcc4f03fee8107,"60,000",383.23,156.5639433,"5,216.711",USDC
0x0c1f2b70c3448220e9e8ab864c3b378dd81342ce,"1,368.26",383.23,3.570328985,118.963,USDC
0x5e03abc56a207c0894c7e79f4195f0695dea32df,"10,000",383.23,26.09399055,869.452,USDC
0x643430283b19fa5bd70a1138b495c2b43523cdd5,"50,000",383.23,130.4699528,"4,347.259",USDC
0x3ecd0359496f9a49a1b11eb50bb603c262ff4218,"3,457",383.23,9.020692535,300.569,USDC
0x3d37cfa2e89a04b3704bd64bc2c9ab9dcd448b9a,"34,911.55",383.23,91.09816477,"3,035.391",USDC
0x9ade31f7baabf784a94200abce297df859eb3350,"75,203.76",383.23,196.2366313,"6,538.605",USDC
0xaaf37a1b5f2a38fbb562f6383cf66a7ebe0b00ad,976.00,383.23,2.546773478,84.858,USDT
0x773d161310d07cafc6f767ca24f43e52163b9be6,"86,596.54",383.23,225.9649188,"7,529.151",USDC
0x773d161310d07cafc6f767ca24f43e52163b9be6,"13,237.17",383.23,34.54106647,"1,150.908",DAI
0x5a3c1249d03488f53bbc30b5a833a390372095ae,"9,885.42",383.23,25.79500708,859.490,USDC
0x01c9f4268beb4c049ac81e0a1d8e6970078601b1,390,383.23,1.017665632,33.909,USDT
0x3b7a7674a43936e9f0d4aa98bc73f990cd726029,"2,035.75",383.23,5.312072985,176.998,USDT
0xb3ee59b941b6c76e8d7bad0f6ca503cce0566632,"1,600",383.23,4.175038489,139.112,USDC
0xfa6aef4656862b2b4c24764522172784eff57390,"1,000",383.23,2.609399055,86.945,USDC
0x12d195e2585dbff7c75a9533c03f7fad60d42202,"1,495",383.23,3.901051588,129.983,USDT
0xe41a11a4cb8a5a57d3bee3719c391435af29b978,"4,449.70",383.23,11.61104833,386.880,DAI
0xf08d882ae658fbfcb6cb88b822182c3e05940aed,688.8982594,383.23,1.797610467,59.896,DAI
0x63f0a3660170a5c9cd4ca7b28b82f0011ffb37c4,"3,032.11",383.23,7.91198497,263.627,USDC
0x3f9594a4b4803e337a08e27195a1f4e1d70aadfe,56.818,383.23,0.1482608355,4.940,USDT
0x243e23c83135ca0fed2f9f5df9068de644929433,"5,000",383.23,13.04699528,434.726,USDC
0xef090f7e575d421c6b9da4e9da9776bee771caff,"1,000",383.23,2.609399055,86.945,USDC
