CONTRIBUTION ADDRESS,STABLES CONTRIBUTION,KSM EQUIVALENT,USD returned at KSM price $33.32 ,USD returned at KSM price $33.32 (INCL 2.1% FEE),TokenSymbol
0x1d80767d1c03286843212076333d8252f2044b16,"11,775",0.09699192828,3.232,3.163903858,DAI
0xadff0346501fbf58b193d1be7dbff16eb3be2754,"155,000",0.3484526341,11.610,11.36662249,USDC
0x71a15ac12ee91bf7c83d08506f3a3588143898b5,"500,181.14",0.2982518309,9.938,9.729058233,DAI
0xcf6c9980cdbbc3abdcc2ef896323fcdbb6159df1,50,0.02952988424,0.984,0.9632730924,USDC
0x01ffcc7285866e5cee14c8e807cb2e8d5f61079f,"55,000",29.52988424,983.936,963.2730924,DAI
0x9325564ade7683706107685cf1993678b1163261,"1,000",4.429482636,147.590,144.4909639,USDC
0x65b8ee88cd729b00c574884f3404678bac479dab,957.273326,3.234022962,107.758,105.4947346,USDC
0x182a72b9dd205177ad9c31fafb824195cc69fbe5,"1,000",0.002952988424,0.098,0.09632730924,DAI
0x3cd5c6d4248bed58495ac94945a12face2b6f198,210,3.233522325,107.741,105.4784036,USDC
0x6a815735471dbd0f85c51b115b728a247abe0cf4,560,0.01476494212,0.492,0.4816365462,USDC
0xc08c7d598fb8026a8bbd698ee0d5a0199db880ff,"10,434.09",29.52988424,983.936,963.2730924,USDC
0x3bb3fc70627c457093159a9125dc836c40d9acd8,"2,200",14.76494212,491.968,481.6365462,USDC
0x7f7b32c998083d66de56602d75bc820b768c721b,"2,000",112.2135601,"3,738.956",3660.437751,USDC
0x0aa2ccbf88c4e03fb25e0e6a7219a7ae9764380a,"1,692.50",3.071107961,102.329,100.1804016,USDC
0x4a6b57491c6537abaad435ec4c48f7452817ac94,"9,960",139.0798488,"4,634.141",4536.82361,USDT
0xa3d3b7f97ab0aca3072a4161851db89bcb292f7f,300,1.476494212,49.197,48.16365462,DAI
0xecf74b69aad56feaf896b8d71b7b4303dce984da,"5,001.99",4.599549182,153.257,150.0385822,USDC
0xa1d3aebf32163c96ef9a5ebaa38981e04ea41365,"10,000",23.57961257,785.673,769.1735643,USDC
0xe41a11a4cb8a5a57d3bee3719c391435af29b978,478.781262,6.130385755,204.264,199.9748998,USDT
0x6eca078edc94b955d38f826cb46ba1407cda152d,"40,000.00",5.905976849,196.787,192.6546185,USDC
0x8090bb265b6d4f2cd21b8d154a47ea74260d3390,500,2.967942668,98.892,96.81512085,USDT
0x5b06b44a66e5345661f6e4596f3a20da19eec1ee,"10,000",13.87785224,462.410,452.6994258,USDT
0x864a2b0f12b90a8dfd38f5e93ac6dc169dc0df5c,900,2.952988424,98.394,96.32730924,USDC
0x813d2bde8609df7077e8944a20db4eb21bc3f04f,"2,000",0.1624143633,5.412,5.298002008,USDT
0xf2e2c98164ac3f4931ce56e2721d44a00455e55f,"1,975",7.677769903,255.823,250.451004,USDT
0x2fa2cf37b1a330389b1cf8b985f71ff76a980ac4,"38,428.60",2.952988424,98.394,96.32730924,DAI
0x415fce36e2dc12421f20b93dbad1dd68bd2f6db6,330.053732,17.53101715,584.133,571.8666882,USDC
0xa3b31b5292600d48172cfe3b588a8406a41f42b7,"1,000",14.76494212,491.968,481.6365462,USDC
0xf9263986be319e0444b600a73501ef7689cdb022,"200,000",59.2634361,"1,974.658",1933.189879,USDT
0x087de07b6e716185b8eb4f707818d4b6fe1bb794,"2,500",2.362390739,78.715,77.06184739,USDT
0xa911ccf5f6c7bd5fb25188d41a536890c3c8fae5,"10,000",29.52988424,983.936,963.2730924,USDT
0xd56ee5ba5a52e15f309108bdd6247c69b4f624c2,"6,000",8.858965273,295.181,288.9819277,USDT
0x0c387030a5d3acdcde1a8ddaf26df31bbc1ce763,"6,928.76",0.7677179305,25.580,25.04317386,USDC
0xcb726f13479963934e91b6f34b6e87ec69c21bb9,"60,000",14.76494212,491.968,481.6365462,USDT
0x197305c1f2266dfcfffe52dea4b2b6ed2ec7d3b7,"1,368.26",5.905976849,196.787,192.6546185,DAI
0x14eecf2f25d695d29596732f7523b5e1274660d9,"10,000",14.65372756,488.262,478.0086961,USDC
0xe225c1296fd172f7dab917421f87e8cfa18a9f20,"50,000",14.76494212,491.968,481.6365462,USDT
0x949da077579dee261b08f729b2f70a2c2c123495,"3,457",5.905976849,196.787,192.6546185,DAI
0xfcfd3601862c7f5c6d2f743e0d4c28211b45d704,"34,911.55",0.8858965273,29.518,28.89819277,USDT
0xa3f2d88fb722d4f2a082edbf98354b81dc34829e,"75,203.76",11.52923266,384.154,376.0867977,USDC
0xa7a9e6137d2582fc8bddad6a6daeb8fb985396f2,"86,596.54",4.332102923,144.346,141.3144104,USDT
0x0da5709210763a8e4840add60672d2bff8e534f8,"9,885.42",1.426824947,47.542,46.54342928,USDC
0x03db74df4ef8b29fe210abcf027c757747c14f00,"1,600",2.952988424,98.394,96.32730924,USDC
0xa3f2d88fb722d4f2a082edbf98354b81dc34829e,"1,000",10.57804074,352.460,345.0586507,USDC
0x62e560167c333fb919034d1bd3a286f3104b0d3f,"3,032.11",2.067091897,68.876,67.42911647,DAI
0x79252d8f9019f08012881ce1d71af86879351fa8,"5,000",1.479447201,49.295,48.25998193,USDC
0x1877a64a37778e58ac2646107ece72a24d07021d,"1,000",0.009936871013,0.331,0.3241435148,USDT
0x9bcc57d24f1d154f73c19e92c78ae87b86683cfe,"53,454",2.952988424,98.394,96.32730924,USDT
0x5280537847c00723a2e710349390bff199661cd3,113,4.002836466,133.375,130.5736463,USDC
0xcab5b71ef27aa7427ec7a87d95ffc0e7e3434565,600,2.952988424,98.394,96.32730924,USDC
0x8aa60881dde54833fd2e2186ee7a9661440c16a1,"1,000",3.026813135,100.853,98.73549197,USDC
0xcec771b3ab9204c4eb0b731111658e7c8ba539cf,"1,045.00",1.476494212,49.197,48.16365462,USDC
0x92d7aac06d1f44e3153b1c89f6c3d918d906691c,900,7.382471061,245.984,240.8182731,USDT
0xa92a40457e419c5ec245a646da09112cdcc6cfb6,825.883282,0.118119537,3.936,3.853092369,USDC
0xd384f5d32ae6fd285a63f5232ff10f1696919233,"323,163.31",0.01767574526,0.589,0.5765877597,DAI
